ID,Title,Duration,Rating
f8837e80-d5a6-43d4-b1d8-9f0abbfeb647,Inception,148,8,0
fb49dab1-f347-4234-81c3-ca9ceac17a88,Titanic,195,7,0
c89c6d92-6707-4a46-b151-a45bc7ecd976,Star Wars: Episode IV,121,8,0
a3575f78-3a5d-431e-a9c8-abe0a356827b,Joker,122,8,0
c0e8e376-f0eb-49de-8eca-45e7beaf619d,The Social Network,120,7,0
9d992b50-b967-4065-81c0-9fcee95dcdfe,The Silence of the Lambs,118,8,0
54fe8038-4df3-45cc-b484-a20f4927ea17,The Green Mile,189,8,0
0bd6c55a-2625-40a4-b42c-793389b452e0,The Matrix,136,8,0
f0caabf6-69aa-4cde-a5d0-54b2b863216e,The Matrix,136,8,0
53e59657-c63f-41f0-afa7-79d031cee277,Fight Club,139,8,0
dfc42de9-86bc-4ed8-b1a5-72ed39fecd2c,The Shawshank Redemption,142,9,0
8e481159-d6f3-4c36-a3cf-9fa62ca7551c,Avengers: Endgame,181,8,0
07e397cc-2966-4bf1-a9aa-57f28711a78c,Schindler's List,195,9,0
a7e737c2-e23a-43ce-a3b0-485f4d1cbce5,The Lion King,118,8,0
e15ed95b-3f00-4663-828f-0d3c5e27efce,Schindler's List,195,9,0
d389b72d-8190-45c2-b85b-d1d61c5cbea5,The Matrix,136,8,0
9be0fc93-b8fc-4f0d-b0b0-14481548a355,The Social Network,120,7,0
5e14f960-ed74-4c2f-b59e-7db921918dab,Titanic,195,7,0
b0adeacf-64f5-4253-ae43-3b76e5d78409,The Silence of the Lambs,118,8,0
21b9965c-3719-40a3-bd02-98b537364c09,The Godfather,175,9,0
385b2b66-7e80-43af-b944-2df646a3df0a,Fight Club,139,8,0
eee1ca0e-2e3b-4ee1-b66d-d9842214d5ee,Schindler's List,195,9,0
cd5025bc-d994-47d7-8714-ae9dbd8d6a8d,The Silence of the Lambs,118,8,0
7c2a5007-5e92-4d36-8ae5-1c9eef2e911f,The Dark Knight,152,9,0
3b885c42-edb7-4651-a5fa-2359d383c080,The Shawshank Redemption,142,9,0
06675128-2613-4b77-bdd5-cc1f77b2300e,Star Wars: Episode IV,121,8,0
09cc50e8-1ef2-42f4-aace-6a0cc2bc1b88,The Silence of the Lambs,118,8,0
b0fe5cc0-7b33-484d-9846-6918a333e8b9,The Shawshank Redemption,142,9,0
0051aac8-417f-4534-b54e-1ac1fc2f6911,The Matrix,136,8,0
3dbabdd9-3a14-4822-9fd4-43ed5b555111,Star Wars: Episode IV,121,8,0
cdb0a541-6171-43d3-9304-7b7d639e2ecd,Forrest Gump,142,8,0
80957513-35a0-43fa-8da0-f6d747d88938,The Dark Knight,152,9,0
1b6c474e-4eef-4705-8ad4-5c79fcb3a8cd,The Dark Knight,152,9,0
cc239aa6-6855-4f09-bd60-3dfd684df21e,Inception,148,8,0
068e6083-a33f-4c24-8579-5eeafedf0eef,The Social Network,120,7,0
5ed4fb76-a096-4d85-aff8-61c839469ebf,Schindler's List,195,9,0
0e2e62d4-7a03-46d5-8259-c4a7abceb4b1,The Green Mile,189,8,0
2f110036-deb6-4c1e-a5b1-ce3e8387895e,The Shawshank Redemption,142,9,0
